6;Ulrico Hoepli-Stiftung;;;HOEPLI;c/o CS Group, Bleicherweg;33;8070;Zürich;;Unterstützung von Institutionen und Bestrebungen zur Erhaltung des kulturellen Erbes der Schweiz. Insbesondere Beiträge an Publikationen zur Schweizer Kunst- und Kulturgeschichte.
7;Anna Caroline Stiftung;;;ANNA;Weinbergstrasse;29;8006;Zürich;HTTP://WWW.ANNACAROLINE.CH;Die Stiftung hat den Zweck, die Studien von Schweizerinnen an schweizerischen Hochschulen (Universität, ETH und EPFL) zu erleichtern.
9;Schweizerische Pestalozzistiftung Neuhof;;;PESTALOZZI;;;5242;Birr;;"Die Stiftung bezweckt die Erziehung, Schulung und Berufsbildung von Jugendlichen, für die sich besondere pädagogische Massnahmen gemäss Leistungskonzept als notwendig erweisen. Ziel ist die soziale und berufliche Integration. In Ausführung dieses Zweckes betreibt die Stiftung unter dem Namen ""Berufsbildungsheim Neuhof, Birr"" eine Wohn- und Ausbildungsstätte für Jugendliche."
10;Schweizerische Schillerstiftung;;;SCHILLER;Rte de Frontenex;57;1207;Genf;;Die Schweizerische Schillerstiftung bezweckt die Förderung der Literatur in der viersprachigen Schweiz und den literarischen Austausch zwischen den Sprachregionen. Dies geschieht insbesondere durch die Vergabe von Preisen. Die Stiftung kann auch in Not geratene Schriftstellerinnen und Schriftsteller und deren Familien unterstützen. Es können im Sinne dieser Zwecke Schriftstellerinnen udn schriftsteller bedacht werden, welche die schweizerische Nationalität besitzen oder seit mindestens 5 Jahren in der Schweiz ansässig sind.
12;Stiftung Grünau;;;GRÜNAU;Erlenstrasse;89;8805;Richterswil;HTTP://WWW.STIFTUNGGRUENAU.CH;Die Stiftung fördert Tätigkeiten, Projekte und Einrichtungen zur beruflichen und sozialen Integration von Jugendlichen und jungen Erwachsenen. Insbesondere fördert die Stiftung als Partnerin zivilgesellschaftliche Institutionen, die im Bereich des Stiftungszwecks tätig sind. Die Stiftung erfüllt ihren Zweck auf dem Gebiet der ganzen Schweiz, unter besonderer Berücksichtigung der Kantone Zürich, Schwyz und St. Gallen.
13;Stiftung Uetendorfberg, Schweizerische Wohn- und Arbeitsgemeinschaft für Hörbehinderte;;;UETENDORFBERG;Heim Uetendorfberg;;3661;Uetendorf;;Beherbergung und Beschäftigung von Mehrfachbehinderten oder Hör- und Sprachgeschädigten aus allen schweizerischen Kantonen. Die Heim bewohner/innen sollen in angepasster Weise betreut, gefördert und gepflegt werden. In der Werkstatt, im Landwirtschaftsbetrieb, in d er Gärtnerei und im Heimhaushalt sollen geeignete Arbeits- und Ausbildungsmöglichkeiten angeboten werden.
14;"Bibliomedia Schweiz - öffentliche Stiftung (BMS) (""Bibliomedia Suisse";(Bibliomedia Suisse - Fondation publique (BMS);;BIBLIOMEDIA;Rosenweg;2;4500;Solothurn;HTTP://WWW.SVBBPT.CH;Förderung des allgemeinen öffentlichen Bibliothekswesens der Schweiz, namentlich in bibliothekarisch ungenügend ausgerüsteten Region en, sie trägt damit zu einer ausgeglicheneren Versorgung aller Landesteile und Bevölkerungskreise mit Büchern und anderen Medien bei und dient, vor allem durch Leseförderung, der freien Entfaltung und Bildung des Einzelnen.
16;Eidgenössische Stiftung zur Förderung schweizerischer Volkswirtschaft durch wissenschaftliche Forschung;;;VOLKSWIRTSCHAFT;Mühlebachstrasse; 14;8008;Zürich;HTTP://WWW.VOLKSWIRTSCHAFT-STIFTUNG.CH;Förderung der schweizerischen Volkswirtschaft durch Vergabe von Seed Money in der Form zinsloser Darlehen oder eventuell einer Kapitalbeteiligung an Jungunternehmen, die einen Technologietransfer aus staatlichen Forschungsinstitutionen durchführen wollen und in der Gründungsphase stehen.
17;Martin Bodmer-Stiftung für einen Gottfried Keller-Preis;;;BODMER;Postfach 1425;;8008;Zürich;;Anerkennung und Förderung schweizerischer Literatur. Die Ausgezeichneten müssen nicht unbedingt aus der Schweiz stammen, ihr Werk mu ss aber einen Bezug zur Schweiz aufweisen. Es werden auch Institutionen (Verlage usw.) ausgezeichnet.
18;Pro Juventute;;;PRO JUVENTUTE;Postfach;;8050;Zürich;HTTP://WWW.PROJUVENTUTE.CH.;Pro Juventute hat zum Zweck, sich für die Erfüllung der Bedürfnisse und die Umsetzung der Rechte von Kindern, Jugendlichen, Eltern und Familien in der Schweiz und im Fürstentum Lichtenstein einzusetzen. Pro Juventute strebt eine gleichmässige Präsenz in allen Landesteilen und Sprachregionen der Schweiz an, ebenso wie Präsenz im Fürstentum Liechtenstein. Die Freiwilligen-Arbeit bildet einen Bestandteil der Tätigkeit von Pro Juventute. Pro Juventute strebt eine Zusammenarbeit mit anderen nationalen, regionalen und lokalen sowie internationalen Organisationen mit gleicher oder ähnlicher Zielsetzung an.
19;Schweizerischer Fonds für Hilfe bei nicht versicherbaren Elementarschäden;;;ELEMENTARSCHÄDEN;Postfach 361;;3000;Bern 14;;Linderung von Notständen, die durch Elementarschäden verursacht werden, ichtigt werden auch Schadenfälle, deren Versicherung möglich wäre, für deren Nicht-Versicherung jedoch sehr triftige Gründe vorliege n.
21;Stiftung Henry Dunant des Schweizerischen Samariterbundes;;;SAMARITERBUND;Postfach;;4601;Olten;HTTP://WWW.SAMARITER.CH;Die Stiftung bezweckt a) die Unterstützung des Schweizerischen Samariterbundes und der ihm angehördenden Kantonal ant: Förderung der häuslichen Krankenpflege durch die Veranstaltung von Krankenpflegekursen und finanzielle Unterstützung der Krankenmobilienmagazine der Samaritervereine.Hilfskasse und Unfallversicherung: Schutz der Aktivmitglieder der örtlichen Samaritervereine und der Teilnehmer/innen an Kursen, Übungen etc. sowie der Angehörigen gegen wirtschaftliche Folgen von Arbeitsunfähigkeit, Invalidität und Tod wegen Unfällen in Ausübung der Samaritertätigkeit.
22;;Fondation du Sanatorium Universitaire Suisse;;SANATORIUM;Cr?t-Taconnet;8;2000;Neuchâtel;;"Affectation des revenus de la fondation au paiement du traitement de la tuberculose dont seraient atteints les membres de la communauté universitaire des Hautes Ecoles; le solde des revenus est réparti annuellement entre les Hautes Ecoles qui les utilisent pour le r?glement de frais socio-médicaux non couverts par une institution de sécurité sociale, au profit des m?mes bénéficiaires."
23;Stiftung Lucerna;;;LUCERNA;Berglistrasse 55;;6003;Luzern;;Die Stiftung trägt zur Orientierung des Menschen in der Welt bei. Sie pflegt den interdisziplinären Diskurs - insbesondere im Bereich der Wissenschaften und Künste - und dessen Vermittlung an eine interessierte Öffentlichkeit.
25;Stiftung Vulkan-Institut Immanuel Friedländer;;;FRIEDLÄNDER;Clausiusstrasse;25;8092;Zürich;;Unterstützung wissenschaftlicher Arbeiten auf dem Gebiet der Vulkanologie. Die Stiftung kann selbst wissenschaftliche Publikationen herausgeben oder sich finanziell oder als Mit-Herausgeberin an der Publikation von Schriften oder Schriftreihen sowie sich an der Or ganisation von Ausstellungen vulkanologischen Charakters beteiligen.
29;Solidaritäts- und Ausbildungsstiftung des Dachverbandes Schweizer Lehrerinnen und Lehrer (LCH);;;AUSBILDUNG;Ringstrasse;54;8057;Zürich;;Unterstützung bei Krankheit, Invalidität, finanzieller Not. Ausbildung von Waisen, Beiträge an Wohlfahrtsinstitutionen des LCH.
33;Stiftung zur Förderung der mathematischen Wissenschaften in der Schweiz;;;MATHEMATIK;Rämistrasse;101;8092;Zürich;;Die Stiftung hat den Zweck, in Ergänzung von Mitteln der öffentlichen Hand und bestehender Institutionen die mathematischen Wissenschaften in der Schweiz zu fördern. Zu ihren festen Aufgaben gehören a) Förderung des mathematischen Nachwuchses. b) Beiträge an die Veranstaltung von Symposien. c) Beiträge an die Publikation mathematischer Arbeiten und schweizerischer mathematischer Zeitschriften. d) Austausch und Information von Mathematikern und Mathematikerinnen, die in der Schweiz tätig sind. Die Stiftung kann auf Grund von Beschlüssen des Stiftungsrates ihre Tätigkeit auf Bestrebungen ähnlicher Art ausdehnen.
34;Stiftung Hochalpine Forschungsstationen Jungfraujoch und Gornergrat;;;FORSCHUNGSSTATION;Sidlerstrasse;5;3012;Bern;HTTP://WWW.HFSJG.CH;Unterstützung von Forschungsprojekten, die unter hochalpinen Verhältnissen durchgeführt werden müssen. Dazu werden auf dem Jungfrauj och die Forschungsstation sowie das Sphinxlaboratorium und auf dem Gornergrat zwei astronomische Observatorien betrieben.
36;Kulturstiftung des SGB;;;KULTUR;Postfach;;3000;Bern 23;WWW.SGB.CH;Stiften eines ''SGB-Kulturpreises'' alle paar Jahre. Allfällige Unterstützung eines kulturellen Anlasses.
38;Pius Stiftung für Papsturkunden- und für mittelalterliche Geschichtsforschung;;;PIUS;Schneckenmannstrasse;19;8044;Zürich;;Wissenschaftliche Forschungen zur Sammlung und Herausgabe der älteren Papsturkunden bis 1198.
40;;Fondation Helvétique de Bienfaisance;;HELVETIQUE;Postfach 2176;;2001;Neuchâtel;;Son but est de donner des ressources ? des institutions d'utilité publique en Suisse et hors de Suisse, ayant une activité caritative en Suisse ou hors de Suisse, en particulier ? la Société Helvétique de Bienfaisance de Paris.
42;Stiftung Schweizerisches Alpines Museum;;;ALPINES MUSEUM;Helvetiaplatz;4;3005;Bern;WWW.ALPINESMUSEUM.CH;Betrieb eines landeskundlichen Museums der Schweizer Alpen durch Sammlung, Ausstellung und Verwaltung aller erreichbaren, historisch und wissenschaftlich interessanten Gegenstände und Materialien über dieses Gebiet. Die Sammlungen sollen nach wissenschaftlichen Grundsätzen geordnet, aber in allgemein verständlicher Weise aufgestellt werden.
43;Stiftung Heilsarmee Schweiz (Fondation Armée du Salut Suisse) (Foundation Salvation Army Switzerland);;;HEILSARMEE;Postfach 6575;;3001;Bern;HTTP://WWW.HEILSARMEE.CH;Verwirklichung der religiösen, idealen, sozialen und philanthropischen Bestrebungen der Heilsarmee in der Schweiz, wie sie vom Gründer dieser Lehre, General William Booth, umschrieben worden sind.
44;"Zeitungsfonds ""Der Fourier"", Fachzeitschrift und offizielles Organ des Schweizerischen Fourierverbandes";;;FOURIER;Gründenstrasse;45;4132;Muttenz;;Finanzierung der Herausgabe der Zeitschrift ''DER FOURIER''.
45;;Château de Constantine, fondation d'utilité publique;;CHATEAU;Rte du Village;4;1587;Constantine;WWW.CHATEAUDECONSTANTINE@BLUEWIN.CH;La fondation a pour but l'exploitation du domaine du Château de Constantine en tant que maison de vacances, de soins légers et de convalescence. Le bénéfice et le capital de la fondation sont exclusivement affectés aux buts précités. La fondation n'a pas de but lucratif.
47;Stiftung Zwyssig-Haus;;;ZWYSSIG;;;6466;Bauen;;"Die Stiftung bezweckt: a) In dem im Jahre 1934 erworbenen Zwyssighaus den bisherigen Gastwirtschaftsbetrieb zu gewährleisten und in der dortigen Gedenkstätte das Andenken an die Schöpfer des Schweizerpsalmes, Alberik Zwyssig und Leonhard Widmer, aufrecht zu halten. b) Erträgnisse aus dem Betrieb des Gasthauses und Zuwendungen von dritter Seite zur Förderung des musikalischen Lebens in der Schweiz einzusetzen. Zu diesem Zweck ist grundsätzlich alle fünf Jahre ein ""Alberik-Zwyssig-Preis"" zu vergeben. Das Nähere bestimmt der Stiftungsrat im entsprechenden Reglement."
49;Schweizerische Stiftung zur Erhaltung der Hohlen Gasse;;;HOHLE GASSE;Stegriedstrasse;9;6403;Küssnacht SZ;;Ist als Treuhänderin der schweizerischen Schuljugend die Hohle Gasse bei Küssnacht am Rigi samt der dortigen Tellskapelle dauernd als geschichtlich-vaterländische Stätte zu erhalten.
51;;Fondation Caisse de Secours de l'Association suisse des Musiciens;;CAISSE;Avenue de Grammont;11bis;1007;Lausanne;;Donner des subsides aux membres dans le cas de maladie, de chômage non provoqué par leur faute ou en cas de déc?s.
53;ALFRED VOGT-STIFTUNG ZUR FÖRDERUNG DER AUGENHEILKUNDE;;;VOGT;Flurhofstrasse;7;9000;St. Gallen;HTTP://WWW.ALFRED-VOGT-STIFTUNG.CH;Unterstützung der wissenschaftlichen Forschung auf dem Gebiete der Augenheilkunde durch Preise und Stipendien.
55;Pro Aegrotis;;;PRO AEGROTIS;Franz Lang-Weg;10;4500;Solothurn;HTTP://WWW.PRO-AEGROTIS.CH;Unterstützung von bedürftigen Kranken. Zur Heilung einer Krankheit, Behebung von Unfallfolgen, Verbesserung des Gesundheitszustandes oder für die Pflege zu Hause am Lebensende. Die Tätigkeit erstreckt sich auf das ganze Gebiet der Schweiz. Es werden nur Gesuche von offiziellen sozialen Institutionen entgegengenommen.
56;Schweizer Stiftung Pro Aero;;;PRO AERO;Postfach;;8029;Zürich;;Förderung der schweizerischen Luftfahrt, insbesondere bei der Jugend und im Bereich der sportlichen Betätigung. Sie schenkt neben der Förderung der Flugsicherheit auch den Anliegen des Umweltschutzes gebührend Beachtung.
60;Hirzel-Stiftung;;;HIRZEL;Kasinostrasse;20;8032;Zürich;;Die Stiftung bezweckt die Förderung und Unterstützung gemeinnütziger Bestrebungen auf dem Gebiete der Schweizerischen Eidgenossenschaft.
63;Stiftung für die Auslandschweizer;;;AUSLANDSCHWEIZER;Alpenstrasse;26;3000;Bern 6;;Mitfinanzierung von Projekten und Dienstleistungen der Auslandschweizer-Organisation (ASO) sowie des Komitees für Schweizerschulen i m Ausland (KSA). Ist politisch und konfessionell neutral.
70;Stiftung Pro Arte;;;KULTURFONDS;Hallwylstrasse;15;3003;Bern;HTTP://WWW.KULTUR-SCHWEIZ.ADMIN.CH;Der vom Bundesamt für Kultur betreute Kulturfonds hat künstlerischen und sozialen Charakter und dient dem Zweck der Unterstützung un d Förderung professioneller bildender Künstler/innen, Schriftsteller/innen und Tonkünstler/innen in finanziell schwieriger Situation . Die Unterstützung erfolgt durch die Zusprache von Beiträgen an längerfristige künstlerische Recherchen und Projekte. Die Höhe der Zuwendung beträgt zwischen 2'000 und 10'000 Franken. Nebst der Qualität der künstlerischen Leistungen wird bei der Vergabe der Beitr äge die ökonomische Situation der Gesuchsstellenden berücksichtigt. Bei gleicher Qualität werden prioritär jene Kunstschaffenden aus gezeichnet, die in wirtschaftlich bescheidenen Verhältnissen leben oder sich in einer Notlage befinden. Kunstschaffende können höchs tens dreimal einen Beitrag erhalten. Es können keine Zuschüsse an Aus- und Weiterbildung oder Beiträge an Gruppen ausgerichtet werde n. Die Gesuche werden der Kommission des Kulturfonds zur Prüfung und Entscheidung vorgelegt.
72;Urheber- und Verleger-Fürsorge der SUISA;;;SUISA;Postfach 782;;8038;Zürich;HTTP://WWW.SUISA.CH;"Unterstützung von in Not geratenen Mitgliedern der ""SUISA"", Schweizerische Gesellschaft der Urheber und Verleger und die Ausschüttung von Pensionen an Mitglieder der genannten Gesellschaft."
74;Stiftung für junge Auslandschweizer - Fondation pour les enfants suisses ? l'étranger - Fondazione per i giovani svizzeri all'estero - Fundaziun per giuvens svizzers a l'ester;;;AUSLANDSCHWEIZER;Alpenstrasse;26;3006;Bern;HTTP://WWW.ASO.CH;Die Stiftung sammelt Geld für die Unterbringung von Auslandschweizerkindern in Ferienlagern. Sie unterstützt Kinder, deren Familien sich den Kontakt zur Heimat aus finanziellen Gründen nicht leisten können.
78;Schweizerische Akademie der medizinischen Wissenschaften (SAMW);;;MEDIZIN;Laupenstrasse;7;3001;Bern;WWW.SAMW.CH;Förderung der medizinischen Wissenschaften in der Schweiz. Projektunterstützung und Nachwuchsförderung in Zusammenarbeit mit dem Sch weizerischen Nationalfonds ausserhalb des Hochschulbereichs sowie Erarbeitung und Implementierung medizinisch-ethischer Richtlinien.
80;Schweizerische Stiftung für Alpine Forschungen;;;ALPINE FORSCHUNG;Stadelhoferstrasse;42;8001;Zürich;HTTP://WWW.ALPINFO.CH;Unterstützung und Förderung alpinwissenschaftlicher Forschungsarbeiten und Publikationen in einer für Bergsteiger/Innen und Öffentli chkeit nutzbringenden Form. Sie versteht sich als Bindeglied zwischen alpinwissenschaftlicher Forschung, Alpinismus und Öffentlichke it und kann entsprechende Dienstleistungen erbringen.
81;Paul Niggli-Stiftung;;;PAUL NIGGLI;Scheuchzerstrasse;68/70;8092;Zürich;;Vertiefung der wissenschaftlichen Ausbildung junger, besonders tüchtiger Absolvent/innen Schweizerischer Hochschulen auf den Gebieten der Mineralogie, Kristallchemie, Petrographie, Lagerstättenkunde, Geophysik und deren technische Anwendung.
82;Novartis Stiftung für medizinisch-biologische Forschung;;;NOVARTIS;Theo Straumann / WSJ-503.2.52.7;;4002;Basel;;Förderung der medizinisch-biologischen Wissenschaften durch finanzielle Unterstützung von Forschungsprojekten, die an schweizerischen Universitäten auf dem Gebiet der Medizin und der medizinisch orientierten Biologie-Biochemie durchgeführt werden. Stipendien für Aus- oder Weiterbildung oder Auslandaufenthalte werden nicht ausgerichtet. Hingegen können Reise- und Aufenthaltskosten (ohne Salär) für Kurzaufenthalte (maximal einige Wochen) finanziert werden, sofern sie dem Erlernen von Methoden dienen, welche im Rahmen eines unterstützten Projektes in der Schweiz eingesetzt werden.
85;;;Fondazione Giuseppe Motta;MOTTA;Residenza Governativa;;6500;Bellinzona;;Förderung armer, kinderreicher Schweizerfamilien, indem Kindern von qualifizierten Handwerker/innen oder Fachleuten ermöglicht werden soll.
86;Stiftung Technische Obstverwertung;;;OBSTVERWERTUNG;Etzelstrasse;27;8820;Wädenswil;HTTP://WWW.LSFM.ZHAW.CH;Die Stiftung bezweckt die Förderung der Ausbildung in der technischen Obstverwertung a) durch finanzielle Leistungen an den Ausbau und die technischen Einrichtungen sowie an den Betrieb der ZHAW-N für spezifische Bedürfnisse der Fachrichtung Obstverwertung, b) durch Beiträge zur Aus- und Weiterbildung 1. an tüchtige, aber unbemittelte Studenten und Schüler der Fachrichtung Obstverwertung an der ZHAW-N, 2. an Lehrkräfte der Fachrichtung Obstverwertung an der ZHAW-N, 3. an tüchtige Fachleute der Obstverwertung allgemein.
89;;Fondation Haffkine;;HAFFKINE;Avenue de Montchoisi;10;1004;Lausanne;;Subvention des établissements dans lesquels sont enseignées les sciences et Talmud-Thoras et Yeschivahs cominées).
92;Goethe-Stiftung für Kunst und Wissenschaft;;;GOETHE;Bleicherweg;18;8002;Zürich;;Förderung der Kunst und der wissenschaftlichen Forschung auf dem Gebiet der Schweizerischen Eidgenossenschaft, mit besonderer Berück sichtigung des Kantons Zürich, z.B. durch Förderung des einheimischen belletristischen und wissenschaftlichen Schrifttums, des Theat ers und der Musik, Förderung wissenschaftlicher Bestrebungen durch Finanzierung oder Beihilfe zur Finanzierung von Forschungen der G eistes- und Naturwissenschaften.
